Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,10u 25V X7R,C_0805_2012Metric,100.66,-134.87,0,top
C7,22u 10V X7R,C_0805_2012Metric,90.67,-133.27,-90,top
C8,22u 10V X7R,C_0805_2012Metric,92.69,-133.28,-90,top
C9,22u 10V X7R,C_0805_2012Metric,88.62,-133.28,-90,top
C10,22u 10V X7R,C_0805_2012Metric,71.97,-115.73,180,top
C11,22u 10V X7R,C_0805_2012Metric,82.88,-133.73,0,top
C12,0.1u,C_0805_2012Metric,79.4,-133.73,180,top
D1,B340LA-13-F,D_SMA,99.68,-116.94,0,top
D2,PTVSHC3D15VUH,D_SOD-323,102.23,-120.42,90,top
D3,PTVSHC3D15VUH,D_SOD-323,68.61,-117.25,-90,top
D4,Green,LED_0805_2012Metric,113.97,-130.9,90,top
D5,B340LA-13-F,D_SMA,106.39,-133.27,0,top
D20,Green,LED_0805_2012Metric,113.97,-134.49,90,top
F1,Fuse_Small,Fuse_1206_3216Metric,100.38,-132.55,180,top
Q1,IRF5305,TO-263-2,61.93,-123.96,90,top
R1,1k,R_1206_3216Metric,81.65,-154.74,180,top
R2,1k,R_1206_3216Metric,76.06,-154.74,180,top
R3,1k,R_1206_3216Metric,70.47,-154.74,180,top
R4,1k,R_1206_3216Metric,64.88,-154.74,180,top
R5,1k,R_1206_3216Metric,59.29,-154.74,180,top
R6,1k,R_0805_2012Metric,111.51,-133.3,90,top
R8,10k,R_0805_2012Metric,99.29,-129.61,-90,top
R9,2.2k,R_0805_2012Metric,97.08,-129.61,90,top
R10,1k,R_0805_2012Metric,104.56,-128.36,0,top
R11,10k,R_0805_2012Metric,108.2,-130.45,180,top
R12,2.2k,R_0805_2012Metric,104.59,-130.45,180,top
R13,1k,R_0805_2012Metric,60.43,-133.69,180,top
R14,10k,R_0805_2012Metric,65.17,-133.69,0,top
R15,1k,R_0805_2012Metric,98.298,-151.13,0,top
R16,1k,R_0805_2012Metric,98.298,-149.098,0,top
R20,47k,R_0805_2012Metric,86.58,-133.3,-90,top
R21,47k,R_0805_2012Metric,94.7,-133.25,-90,top
U1,KA431SMFTF,SOT-23,81.65,-151.638,-90,top
U2,KA431SMFTF,SOT-23,76.06,-151.638,-90,top
U3,KA431SMFTF,SOT-23,70.47,-151.638,-90,top
U4,KA431SMFTF,SOT-23,64.88,-151.638,-90,top
U5,KA431SMFTF,SOT-23,59.29,-151.638,-90,top
U6,LM2596S-5,TO-263-5_TabPin3,90.37,-123.06,90,top
U9,STC8H1K08,TSSOP-20_4.4x6.5mm_P0.65mm,81.026,-128.81,0,top